oaci;nombre;departamento;pista_1;pista_2;tora_1;tora_2;toda_1;toda_2;asda_1;asda_2;lda_1;lda_2;elevacion;ancho;temperatura
SKOT;OTU;ANTIOQUIA;17;35;950;950;950;950;950;950;950;950;2058;12;24
SKPA;PAIPA;BOYACA;4;22;1700;1700;1700;1700;1700;1700;1700;1700;8174;30;16
SKPQ;PALANQUERO;CUNDINAMARCA;1;19;3038;3038;3038;3038;3038;3038;3038;3038;569;50;32
SKPS;PASTO;NARIÑO;2;20;2227;2227;2227;2227;2227;2227;2178;2178;5922;30;28
SKPZ;PAZ DE ARIPORO;CASANARE;4;22;1506;1506;1506;1506;1506;1506;1506;1506;878;20;28
SKPE;PEREIRA;RISARALDA;8;26;2020;2020;2020;2020;2020;2020;2020;2020;4417;45;28
SKPI;PITALITO;HUILA;7;25;1500;1500;1500;1500;1500;1500;1500;1500;4212;19;21
SKPL;PLATO;MAGDALENA;17;35;1067;1067;1067;1067;1067;1067;1067;1067;86;20;28
SKPP;POPAYAN;CAUCA;8;26;1910;1850;1910;1850;1910;1850;1850;1850;5669;30;25
SKPV;PROVIDENCIA;SAN ANDRES;17;35;1290;1290;1290;1290;1290;1290;1290;1290;29;18;32
SKAS;PUERTO ASIS;PUTUMAYO;1;19;1600;1600;1600;1600;1600;1600;1462;1600;815;20;32
SKPR;PUERTO BERRIO;ANTIOQUIA;18;36;1290;1290;1290;1290;1290;1290;1290;1290;445;24;29
SKPB;PUERTO BOLIVAR;GUAJIRA;9;27;1600;1600;1600;1600;1600;1600;1600;1600;93;45;32
SKPC;PUERTO CARREÑO;VICHADA;7;25;1800;1800;1800;1800;1800;1800;1800;1800;174;20;36
SKMO;PUERTO GAITAN;META;4;22;1380;1380;1380;1380;1380;1380;1380;1380;150;23;29
SKPD;PUERTO INIRIDA;GUAINIA;18;36;1930;1930;1930;1930;1930;1930;1930;1930;315;30;27
SKLG;PUERTO LEGUIZAMO;PUTUMAYO;30;12;1199;1199;1199;1199;1199;1199;1199;1199;625;15;32
SKLL;PUERTO LLERAS;META;15;33;940;940;940;940;940;940;940;940;800;15;27
SKOL;PUERTO LOPEZ;META;12;30;780;780;780;780;780;780;780;780;690;15;26
SKPN;PUERTO NARE;ANTIOQUIA;6;24;1000;1000;1000;1000;1000;1000;1000;1000;130;20;28
SKUI;QUIBDO;CHOCO;13;31;1400;1400;1400;1400;1400;1400;1400;1400;204;30;31
SKFR;QUIPAMA;BOYACA;16;34;860;860;860;860;860;860;860;860;3850;16;24
SKRH;RIOHACHA;GUAJIRA;10;28;1900;1900;1900;1900;1900;1900;1900;1900;43;30;35
SKRG;RIONEGRO;ANTIOQUIA;1;19;3500;3500;3700;3640;3500;3500;3500;3500;7025;45;25
SKRD;RONDON;ARAUCA;7;25;1300;1300;1300;1300;1300;1300;1300;1300;480;30;27
SKUS;SAN AGUSTIN;TOLIMA;1;19;320;320;320;320;320;320;320;320;1017;10;26
SKSP;SAN ANDRES;SAN ANDRES;6;24;2375;2375;2375;2375;2375;2375;2375;2375;20;45;30
SKSG;SAN GIL;SANTANDER;17;35;1240;1240;1240;1240;1240;1240;1240;1240;5577;15;24
SKIS;SAN ISIDRO II;META;9;27;890;890;890;890;890;890;890;890;175;10;27
