PISTA;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35
3250;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16900;16800;16700;16600;16500;16400;16300;16200;16100;16000;15900;15800;15700;15600;15500;15400;15300;15200;15100;15000;14900
3375;16976;16976;16976;16976;16976;16976;16976;16976;16976;16976;16850;16750;16650;16550;16450;16350;16250;16150;16050;15950;15850;15750;15650;15550;15450;15350;15250;15150;15050;14950;14850
3500;16976;16976;16976;16976;16976;16976;16976;16976;16976;16900;16800;16700;16600;16500;16400;16300;16200;16100;16000;15900;15800;15700;15600;15500;15400;15300;15200;15100;15000;14900;14800
3625;16976;16976;16976;16976;16976;16976;16976;16976;16976;16800;16700;16600;16500;16400;16300;16200;16100;16000;15900;15800;15700;15600;15500;15400;15300;15200;15100;15000;14900;14800;14700
3750;16976;16976;16976;16976;16976;16976;16976;16900;16800;16700;16600;16500;16400;16300;16200;16100;16000;15900;15800;15700;15600;15500;15400;15300;15200;15100;15000;14900;14800;14700;14600
3875;16976;16976;16976;16976;16976;16976;16976;16800;16700;16600;16500;16400;16300;16200;16100;16000;15900;15800;15700;15600;15500;15400;15300;15200;15100;15000;14900;14800;14700;14600;14500
4000;16976;16976;16976;16976;16976;16900;16800;16700;16600;16500;16400;16300;16200;16100;16000;15900;15800;15700;15600;15500;15400;15300;15200;15100;15000;14900;14800;14700;14600;14500;14400
4125;16976;16976;16976;16976;16976;16850;16750;16650;16550;16450;16350;16250;16150;16050;15950;15850;15750;15650;15550;15450;15350;15250;15150;15050;14950;14850;14750;14650;14550;14450;14350
4250;16976;16976;16976;16976;16976;16800;16700;16600;16500;16400;16300;16200;16100;16000;15900;15800;15700;15600;15500;15400;15300;15200;15100;15000;14900;14800;14700;14600;14500;14400;14300
4375;16976;16976;16976;16976;16976;16700;16600;16500;16400;16300;16200;16100;16000;15900;15800;15700;15600;15500;15400;15300;15200;15100;15000;14900;14800;14700;14600;14500;14400;14300;14200
4500;16976;16976;16900;16800;16700;16600;16500;16400;16300;16200;16100;16000;15900;15800;15700;15600;15500;15400;15300;15200;15100;15000;14900;14800;14700;14600;14500;14400;14300;14200;14100
4625;16976;16976;16750;16650;16550;16450;16350;16250;16150;16050;15950;15850;15750;15650;15550;15450;15350;15250;15150;15050;14950;14850;14750;14650;14550;14450;14350;14250;14150;14050;13950
4750;16800;16700;16600;16500;16400;16300;16200;16100;16000;15900;15800;15700;15600;15500;15400;15300;15200;15100;15000;14900;14800;14700;14600;14500;14400;14300;14200;14100;14000;13900;13800
4875;16750;16650;16550;16450;16350;16250;16150;16050;15950;15850;15750;15650;15550;15450;15350;15250;15150;15050;14950;14850;14750;14650;14550;14450;14350;14250;14150;14100;14000;13900;13800
5000;16700;16600;16500;16400;16300;16200;16100;16000;15900;15800;15700;15600;15500;15400;15300;15200;15100;15000;14900;14800;14700;14600;14500;14400;14300;14200;14100;14100;14000;13900;13800
5125;16600;16500;16400;16300;16200;16100;16000;15900;15800;15700;15600;15500;15400;15300;15200;15100;15000;14900;14800;14700;14600;14500;14400;14300;14200;14100;14000;13950;13850;13750;13650
5250;16500;16400;16300;16200;16100;16000;15900;15800;15700;15600;15500;15400;15300;15200;15100;15000;14900;14800;14700;14600;14500;14400;14300;14200;14100;14000;13900;13800;13700;13600;13500
5375;16550;16450;16350;16250;16150;16050;15950;15850;15750;15650;15550;15450;15350;15250;15150;15050;14950;14850;14750;14650;14550;14450;14350;14250;14150;14050;13950;13850;13750;13650;13500
